Country,Happiness Rank,Happiness Score,Economy,Family,Health,Freedom,Trust,Generosity,Dystopia
Norway,1,7.54,1.62,1.53,0.8,0.64,0.36,0.32,2.277026653
Denmark,2,7.52,1.48,1.55,0.79,0.63,0.36,0.4,2.313707352
Iceland,3,7.5,1.48,1.61,0.83,0.63,0.48,0.15,2.322715282
Switzerland,4,7.49,1.56,1.52,0.86,0.62,0.29,0.37,2.276716232
Finland,5,7.47,1.44,1.54,0.81,0.62,0.25,0.38,2.430181503
Netherlands,6,7.38,1.5,1.43,0.81,0.59,0.47,0.28,2.294804096
Canada,7,7.32,1.48,1.48,0.83,0.61,0.44,0.29,2.187264442
New Zealand,8,7.31,1.41,1.55,0.82,0.61,0.5,0.38,2.046456337
Sweden,9,7.28,1.49,1.48,0.83,0.61,0.39,0.38,2.097537994
Australia,10,7.28,1.48,1.51,0.84,0.6,0.48,0.3,2.065210819
Israel,11,7.21,1.38,1.38,0.84,0.41,0.33,0.09,2.801757336
Costa Rica,12,7.08,1.11,1.42,0.76,0.58,0.21,0.1,2.898639202
Austria,13,7.01,1.49,1.46,0.82,0.57,0.32,0.22,2.138506413
United States,14,6.99,1.55,1.42,0.77,0.51,0.39,0.14,2.218113422
Ireland,15,6.98,1.54,1.56,0.81,0.57,0.43,0.3,1.773869038
Germany,16,6.95,1.49,1.47,0.8,0.56,0.34,0.28,2.015769958
Belgium,17,6.89,1.46,1.46,0.82,0.54,0.23,0.25,2.124210358
Luxembourg,18,6.86,1.74,1.46,0.85,0.6,0.28,0.32,1.619512081
United Kingdom,19,6.71,1.44,1.5,0.81,0.51,0.49,0.27,1.704143524
Chile,20,6.65,1.25,1.28,0.82,0.38,0.33,0.08,2.509585857
United Arab Emirates,21,6.65,1.63,1.27,0.73,0.61,0.36,0.32,1.734703541
Brazil,22,6.64,1.11,1.43,0.62,0.44,0.16,0.11,2.769267082
Czech Republic,23,6.61,1.35,1.43,0.75,0.49,0.09,0.04,2.451861858
Argentina,24,6.6,1.19,1.44,0.7,0.49,0.11,0.06,2.614005327
Mexico,25,6.58,1.15,1.21,0.71,0.41,0.12,0.13,2.837154865
Singapore,26,6.57,1.69,1.35,0.95,0.55,0.35,0.46,1.216362
Malta,27,6.53,1.34,1.49,0.82,0.59,0.57,0.15,1.556862831
Uruguay,28,6.45,1.22,1.41,0.72,0.58,0.18,0.18,2.172409534
Guatemala,29,6.45,0.87,1.26,0.54,0.53,0.28,0.08,2.893891096
Panama,30,6.45,1.23,1.37,0.71,0.55,0.21,0.07,2.307199955
France,31,6.44,1.43,1.39,0.84,0.47,0.13,0.17,2.005954742
Thailand,32,6.42,1.13,1.43,0.65,0.58,0.57,0.03,2.039508343
Taiwan Province of China,33,6.42,1.43,1.38,0.79,0.36,0.26,0.06,2.126607418
Spain,34,6.4,1.38,1.53,0.89,0.41,0.19,0.07,1.92775774
Qatar,35,6.38,1.87,1.27,0.71,0.6,0.33,0.44,1.14546442
Colombia,36,6.36,1.07,1.4,0.6,0.48,0.15,0.05,2.616068125
Saudi Arabia,37,6.34,1.53,1.29,0.59,0.45,0.15,0.27,2.065429688
Trinidad and Tobago,38,6.17,1.36,1.38,0.52,0.52,0.33,0.01,2.053247452
Kuwait,39,6.11,1.63,1.26,0.63,0.5,0.23,0.22,1.640425205
Slovakia,40,6.1,1.33,1.51,0.71,0.3,0.14,0.02,2.097776651
Bahrain,41,6.09,1.49,1.32,0.65,0.54,0.17,0.26,1.656149387
Malaysia,42,6.08,1.29,1.28,0.62,0.4,0.42,0.07,2.004448891
Nicaragua,43,6.07,0.74,1.29,0.65,0.45,0.3,0.13,2.513930559
Ecuador,44,6.01,1,1.29,0.69,0.46,0.15,0.14,2.290352583
El Salvador,45,6,0.91,1.18,0.6,0.43,0.08,0.09,2.714593887
Poland,46,5.97,1.29,1.45,0.7,0.52,0.16,0.06,1.797722816
Uzbekistan,47,5.97,0.79,1.55,0.5,0.66,0.42,0.25,1.816913605
Italy,48,5.96,1.4,1.44,0.85,0.26,0.17,0.03,1.813312054
Russia,49,5.96,1.28,1.47,0.55,0.37,0.05,0.03,2.205607414
Belize,50,5.96,0.91,1.08,0.45,0.55,0.24,0.1,2.631955624
Japan,51,5.92,1.42,1.44,0.91,0.51,0.12,0.16,1.363223553
Lithuania,52,5.9,1.31,1.47,0.63,0.23,0.01,0.01,2.228440523
Algeria,53,5.87,1.09,1.15,0.62,0.23,0.07,0.15,2.567603827
Latvia,54,5.85,1.26,1.4,0.64,0.33,0.15,0.07,1.993655205
South Korea,55,5.84,1.4,1.13,0.9,0.26,0.21,0.06,1.880378008
Moldova,56,5.84,0.73,1.25,0.59,0.24,0.21,0.01,2.807808399
