Happiness Rank,Country,Happiness score,Whisker-high,Whisker-low,Dystopia (1.88) + residual,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
1,Finland,7.769,7.83,7.708,2.714,1.34,1.587,0.986,0.596,0.153,0.393
2,Denmark,7.6,7.667,7.534,2.393,1.383,1.573,0.996,0.592,0.252,0.41
3,Norway,7.554,7.616,7.492,2.241,1.488,1.582,1.028,0.603,0.271,0.341
4,Iceland,7.494,7.613,7.374,2.401,1.38,1.624,1.026,0.591,0.354,0.118
5,Netherlands,7.488,7.542,7.433,2.393,1.396,1.522,0.999,0.557,0.322,0.298
6,Switzerland,7.48,7.553,7.408,2.272,1.452,1.526,1.052,0.572,0.263,0.343
7,Sweden,7.343,7.416,7.27,2.246,1.387,1.487,1.009,0.574,0.267,0.373
8,New Zealand,7.307,7.383,7.232,2.127,1.303,1.557,1.026,0.585,0.33,0.38
9,Canada,7.278,7.357,7.2,2.193,1.365,1.505,1.039,0.584,0.285,0.308
10,Austria,7.246,7.313,7.179,2.378,1.376,1.475,1.016,0.532,0.244,0.226
11,Australia,7.228,7.315,7.141,2.094,1.372,1.548,1.036,0.557,0.332,0.29
12,Costa Rica,7.167,7.254,7.081,2.933,1.034,1.441,0.963,0.558,0.144,0.093
13,Israel,7.139,7.206,7.071,2.665,1.276,1.455,1.029,0.371,0.261,0.082
14,Luxembourg,7.09,7.152,7.028,1.954,1.609,1.479,1.012,0.526,0.194,0.316
15,United Kingdom,7.054,7.126,6.982,2.112,1.333,1.538,0.996,0.45,0.348,0.278
16,Ireland,7.021,7.102,6.941,1.845,1.499,1.553,0.999,0.516,0.298,0.31
17,Germany,6.985,7.045,6.925,2.15,1.373,1.454,0.987,0.495,0.261,0.265
18,Belgium,6.923,6.988,6.858,2.235,1.356,1.504,0.986,0.473,0.16,0.21
19,United States,6.892,6.986,6.798,2.266,1.433,1.457,0.874,0.454,0.28,0.128
20,Czech Republic,6.852,6.921,6.783,2.636,1.269,1.487,0.92,0.457,0.046,0.036
21,United Arab Emirates,6.825,6.901,6.748,2.145,1.503,1.31,0.825,0.598,0.262,0.182
22,Malta,6.726,6.81,6.642,1.816,1.3,1.52,0.999,0.564,0.375,0.151
23,Mexico,6.595,6.687,6.502,2.761,1.07,1.323,0.861,0.433,0.074,0.073
24,France,6.592,6.667,6.518,2.021,1.324,1.472,1.045,0.436,0.111,0.183
25,Taiwan Province of China,6.446,6.528,6.365,2.045,1.368,1.43,0.914,0.351,0.242,0.097
26,Chile,6.444,6.534,6.354,2.397,1.159,1.369,0.92,0.357,0.187,0.056
27,Guatemala,6.436,6.549,6.323,2.833,0.8,1.269,0.746,0.535,0.175,0.078
28,Saudi Arabia,6.375,6.481,6.268,2.169,1.403,1.357,0.795,0.439,0.08,0.132
29,Qatar,6.374,6.568,6.181,1.565,1.684,1.313,0.871,0.555,0.22,0.167
30,Spain,6.354,6.432,6.276,1.929,1.286,1.484,1.062,0.362,0.153,0.079
31,Panama,6.321,6.433,6.209,2.141,1.149,1.442,0.91,0.516,0.109,0.054
32,Brazil,6.3,6.403,6.197,2.48,1.004,1.439,0.802,0.39,0.099,0.086
33,Uruguay,6.293,6.388,6.198,2.014,1.124,1.465,0.891,0.523,0.127,0.15
34,Singapore,6.262,6.324,6.2,0.807,1.572,1.463,1.141,0.556,0.271,0.453
35,El Salvador,6.253,6.362,6.144,2.831,0.794,1.242,0.789,0.43,0.093,0.074
36,Italy,6.223,6.306,6.141,1.984,1.294,1.488,1.039,0.231,0.158,0.03
37,Bahrain,6.199,6.324,6.075,1.698,1.362,1.368,0.871,0.536,0.255,0.11
38,Slovakia,6.198,6.275,6.12,2.097,1.246,1.504,0.881,0.334,0.121,0.014
39,Trinidad and Tobago,6.192,6.416,5.968,2.081,1.231,1.477,0.713,0.489,0.185,0.016
40,Poland,6.182,6.269,6.094,2.003,1.206,1.438,0.884,0.483,0.117,0.05
41,Uzbekistan,6.174,6.279,6.069,1.951,0.745,1.529,0.756,0.631,0.322,0.24
42,Lithuania,6.149,6.236,6.062,2.202,1.238,1.515,0.818,0.291,0.043,0.042
43,Colombia,6.125,6.229,6.02,2.286,0.985,1.41,0.841,0.47,0.099,0.034
44,Slovenia,6.118,6.209,6.026,1.618,1.258,1.523,0.953,0.564,0.144,0.057
45,Nicaragua,6.105,6.218,5.992,2.49,0.694,1.325,0.835,0.435,0.2,0.127
46,Kosovo,6.1,6.199,6.001,2.469,0.882,1.232,0.758,0.489,0.262,0.006
47,Argentina,6.086,6.192,5.981,2.096,1.092,1.432,0.881,0.471,0.066,0.05
48,Romania,6.07,6.163,5.976,2.302,1.162,1.232,0.825,0.462,0.083,0.005
49,Cyprus,6.046,6.149,5.942,1.88,1.263,1.223,1.042,0.406,0.19,0.041
50,Ecuador,6.028,6.13,5.925,2.225,0.912,1.312,0.868,0.498,0.126,0.087
51,Kuwait,6.021,6.148,5.893,1.661,1.5,1.319,0.808,0.493,0.142,0.097
52,Thailand,6.008,6.103,5.913,1.777,1.05,1.409,0.828,0.557,0.359,0.028
53,Latvia,5.94,6.011,5.869,2.073,1.187,1.465,0.812,0.264,0.075,0.064
54,South Korea,5.895,5.984,5.805,1.949,1.301,1.219,1.036,0.159,0.175,0.056
55,Estonia,5.893,5.965,5.822,1.496,1.237,1.528,0.874,0.495,0.103,0.161
56,Jamaica,5.89,6.126,5.653,2.125,0.831,1.478,0.831,0.49,0.107,0.028
57,Mauritius,5.888,5.991,5.785,1.795,1.12,1.402,0.798,0.498,0.215,0.06
58,Japan,5.886,5.97,5.802,1.399,1.327,1.419,1.088,0.445,0.069,0.14
59,Honduras,5.86,5.987,5.734,2.323,0.642,1.236,0.828,0.507,0.246,0.078
60,Kazakhstan,5.809,5.89,5.727,1.746,1.173,1.508,0.729,0.41,0.146,0.096
61,Bolivia,5.779,5.876,5.683,2.376,0.776,1.209,0.706,0.511,0.137,0.064
62,Hungary,5.758,5.853,5.663,2.02,1.201,1.41,0.828,0.199,0.081,0.02
63,Paraguay,5.743,5.837,5.648,1.857,0.855,1.475,0.777,0.514,0.184,0.08
64,North Cyprus,5.718,5.819,5.616,1.39,1.263,1.252,1.042,0.417,0.191,0.162
65,Peru,5.697,5.811,5.583,2.044,0.96,1.274,0.854,0.455,0.083,0.027
66,Portugal,5.693,5.792,5.593,1.462,1.221,1.431,0.999,0.508,0.047,0.025
67,Pakistan,5.653,5.732,5.574,2.924,0.677,0.886,0.535,0.313,0.22,0.098
68,Russia,5.648,5.713,5.583,1.839,1.183,1.452,0.726,0.334,0.082,0.031
69,Philippines,5.631,5.744,5.519,2.092,0.807,1.293,0.657,0.558,0.117,0.107
70,Serbia,5.603,5.705,5.501,1.904,1.004,1.383,0.854,0.282,0.137,0.039
71,Moldova,5.529,5.604,5.453,2.35,0.685,1.328,0.739,0.245,0.181,0
72,Libya,5.525,5.646,5.404,1.804,1.044,1.303,0.673,0.416,0.133,0.152
73,Montenegro,5.523,5.621,5.425,1.822,1.051,1.361,0.871,0.197,0.142,0.08
74,Tajikistan,5.467,5.568,5.366,2.397,0.493,1.098,0.718,0.389,0.23,0.144
75,Croatia,5.432,5.51,5.354,1.66,1.155,1.266,0.914,0.296,0.119,0.022
76,Hong Kong S.A.R. of China,5.43,5.523,5.337,0.609,1.438,1.277,1.122,0.44,0.258,0.287
77,Dominican Republic,5.425,5.559,5.291,1.519,1.015,1.401,0.779,0.497,0.113,0.101
78,Bosnia and Herzegovina,5.386,5.477,5.296,1.905,0.945,1.212,0.845,0.212,0.263,0.006
79,Turkey,5.373,5.466,5.28,1.636,1.183,1.36,0.808,0.195,0.083,0.106
80,Malaysia,5.339,5.461,5.216,1.326,1.221,1.171,0.828,0.508,0.26,0.024
81,Belarus,5.323,5.392,5.253,1.531,1.067,1.465,0.789,0.235,0.094,0.142
82,Greece,5.287,5.382,5.191,1.848,1.181,1.156,0.999,0.067,0,0.034
83,Mongolia,5.285,5.362,5.208,1.55,0.948,1.531,0.667,0.317,0.235,0.038
84,Macedonia,5.274,5.365,5.182,1.595,0.983,1.294,0.838,0.345,0.185,0.034
85,Nigeria,5.265,5.389,5.14,2.53,0.696,1.111,0.245,0.426,0.215,0.041
86,Kyrgyzstan,5.261,5.348,5.173,1.719,0.551,1.438,0.723,0.508,0.3,0.023
87,Turkmenistan,5.247,5.302,5.191,1.334,1.052,1.538,0.657,0.394,0.244,0.028
88,Algeria,5.211,5.304,5.119,1.992,1.002,1.16,0.785,0.086,0.073,0.114
89,Morocco,5.208,5.308,5.108,2.314,0.801,0.782,0.782,0.418,0.036,0.076
90,Azerbaijan,5.208,5.279,5.136,1.68,1.043,1.147,0.769,0.351,0.035,0.182
91,Lebanon,5.197,5.284,5.11,1.762,0.987,1.224,0.815,0.216,0.166,0.027
92,Indonesia,5.192,5.3,5.085,1.382,0.931,1.203,0.66,0.491,0.498,0.028
93,China,5.191,5.24,5.141,1.466,1.029,1.125,0.893,0.521,0.058,0.1
94,Vietnam,5.175,5.247,5.103,1.474,0.741,1.346,0.851,0.543,0.147,0.073
95,Bhutan,5.082,5.196,4.969,1.35,0.813,1.321,0.604,0.457,0.37,0.167
96,Cameroon,5.044,5.17,4.918,2.649,0.549,0.91,0.331,0.381,0.187,0.037
97,Bulgaria,5.011,5.098,4.924,1.195,1.092,1.513,0.815,0.311,0.081,0.004
98,Ghana,4.996,5.137,4.856,2.367,0.611,0.868,0.486,0.381,0.245,0.04
99,Ivory Coast,4.944,5.072,4.815,2.739,0.569,0.808,0.232,0.352,0.154,0.09
100,Nepal,4.913,5.031,4.794,1.751,0.446,1.226,0.677,0.439,0.285,0.089
101,Jordan,4.906,5.019,4.792,1.406,0.837,1.225,0.815,0.383,0.11,0.13
102,Benin,4.883,5.022,4.745,3.049,0.393,0.437,0.397,0.349,0.175,0.082
103,Congo (Brazzaville),4.812,4.955,4.668,2.262,0.673,0.799,0.508,0.372,0.105,0.093
104,Gabon,4.799,4.912,4.687,1.596,1.057,1.183,0.571,0.295,0.043,0.055
105,Laos,4.796,4.881,4.711,1.473,0.764,1.03,0.551,0.547,0.266,0.164
106,South Africa,4.722,4.838,4.607,1.369,0.96,1.351,0.469,0.389,0.13,0.055
107,Albania,4.719,4.829,4.608,1.461,0.947,0.848,0.874,0.383,0.178,0.027
108,Venezuela,4.707,4.835,4.579,1.25,0.96,1.427,0.805,0.154,0.064,0.047
109,Cambodia,4.7,4.81,4.589,1.465,0.574,1.122,0.637,0.609,0.232,0.062
110,Palestinian Territories,4.696,4.806,4.587,1.727,0.657,1.247,0.672,0.225,0.103,0.066
111,Senegal,4.681,4.764,4.598,2.009,0.45,1.134,0.571,0.292,0.153,0.072
112,Somalia,4.668,4.811,4.525,2.629,0,0.698,0.268,0.559,0.243,0.27
113,Namibia,4.639,4.777,4.501,1.443,0.879,1.313,0.477,0.401,0.07,0.056
114,Niger,4.628,4.765,4.49,2.742,0.138,0.774,0.366,0.318,0.188,0.102
115,Burkina Faso,4.587,4.695,4.479,2.275,0.331,1.056,0.38,0.255,0.177,0.113
116,Armenia,4.559,4.652,4.467,1.398,0.85,1.055,0.815,0.283,0.095,0.064
117,Iran,4.548,4.659,4.437,1.121,1.1,0.842,0.785,0.305,0.27,0.125
118,Guinea,4.534,4.667,4.402,2.325,0.38,0.829,0.375,0.332,0.207,0.086
119,Georgia,4.519,4.603,4.435,1.662,0.886,0.666,0.752,0.346,0.043,0.164
120,Gambia,4.516,4.668,4.365,2.023,0.308,0.939,0.428,0.382,0.269,0.167
121,Kenya,4.509,4.626,4.391,1.576,0.512,0.983,0.581,0.431,0.372,0.053
122,Mauritania,4.49,4.591,4.389,2.005,0.57,1.167,0.489,0.066,0.106,0.088
123,Mozambique,4.466,4.642,4.29,2.058,0.204,0.986,0.39,0.494,0.197,0.138
124,Tunisia,4.461,4.548,4.373,1.444,0.921,1,0.815,0.167,0.059,0.055
125,Bangladesh,4.456,4.538,4.373,1.406,0.562,0.928,0.723,0.527,0.166,0.143
126,Iraq,4.437,4.61,4.264,1.362,1.043,0.98,0.574,0.241,0.148,0.089
127,Congo (Kinshasa),4.418,4.543,4.293,2.308,0.094,1.125,0.357,0.269,0.212,0.053
128,Mali,4.39,4.498,4.283,2.061,0.385,1.105,0.308,0.327,0.153,0.052
129,Sierra Leone,4.374,4.51,4.238,2.416,0.268,0.841,0.242,0.309,0.252,0.045
130,Sri Lanka,4.366,4.49,4.242,0.559,0.949,1.265,0.831,0.47,0.244,0.047
